episode,iteration,expected,proposed,match,success,latency_ms,resource_usage
1,5,QKD_E91,QKD_DECOY,False,False,210.88,0.97
1,5,QKD_CV-QKD,QKD_CV-QKD,True,True,45.78,0.88
1,5,QKD_MDI-QKD,QKD_MDI-QKD,True,True,69.47,0.89
1,5,QKD_DECOY,QKD_DECOY,True,True,68.72,0.86
1,5,PQC_KYBER,PQC_KYBER,True,True,31.4,0.7
1,5,PQC_DILITHIUM,PQC_DILITHIUM,True,True,41.56,0.67
1,5,PQC_NTRU,PQC_NTRU,True,True,38.93,0.68
1,5,PQC_SABER,PQC_SABER,True,True,30.24,0.68
1,5,PQC_FALCON,PQC_FALCON,True,True,31.14,0.69
1,5,PQC_SPHINCS,PQC_SPHINCS,True,True,44.49,0.67
1,5,HYBRID_QKD_PQC,HYBRID_QKD_PQC,True,True,61.45,0.86
1,5,HYBRID_RSA_PQC,HYBRID_RSA_PQC,True,True,31.73,0.69
1,5,HYBRID_ECC_PQC,HYBRID_ECC_PQC,True,True,32.33,0.69
1,5,RSA_4096,RSA_4096,True,True,25.97,0.5
1,5,ECC_521,ECC_521,True,True,30.62,0.45
1,5,AES_256_GCM,AES_256_GCM,True,True,24.91,0.37
1,5,AES_192,AES_192,True,True,20.12,0.34
1,5,CHACHA20_POLY1305,CHACHA20_POLY1305,True,True,21.27,0.37
1,5,FALLBACK_AES,FALLBACK_AES,True,True,19.0,0.37
1,6,QKD_BB84,QKD_BB84,True,True,68.84,0.87
1,6,QKD_E91,QKD_E91,True,True,45.81,0.86
1,6,QKD_CV-QKD,QKD_CV-QKD,True,True,72.41,0.88
1,6,QKD_MDI-QKD,QKD_MDI-QKD,True,True,49.94,0.86
1,6,QKD_DECOY,QKD_DECOY,True,True,45.96,0.91
1,6,PQC_KYBER,PQC_KYBER,True,True,36.74,0.66
1,6,PQC_DILITHIUM,FALLBACK_AES,False,True,23.32,0.36
1,6,PQC_NTRU,ECC_521,False,False,133.39,0.52
1,6,PQC_SABER,PQC_SABER,True,True,40.12,0.66
1,6,PQC_FALCON,PQC_FALCON,True,True,44.29,0.68
1,6,PQC_SPHINCS,PQC_SPHINCS,True,True,35.84,0.69
1,6,HYBRID_QKD_PQC,HYBRID_QKD_PQC,True,True,53.35,0.86
1,6,HYBRID_RSA_PQC,HYBRID_RSA_PQC,True,True,31.43,0.69
1,6,HYBRID_ECC_PQC,HYBRID_ECC_PQC,True,True,35.12,0.7
1,6,RSA_4096,RSA_4096,True,True,38.63,0.53
1,6,ECC_521,ECC_521,True,True,21.29,0.47
1,6,AES_256_GCM,AES_256_GCM,True,True,28.6,0.35
1,6,AES_192,AES_192,True,True,18.52,0.35
1,6,CHACHA20_POLY1305,CHACHA20_POLY1305,True,True,20.12,0.42
1,6,FALLBACK_AES,FALLBACK_AES,True,True,10.25,0.33
1,7,QKD_BB84,QKD_BB84,True,True,52.49,0.9
1,7,QKD_E91,QKD_E91,True,True,67.61,0.85
1,7,QKD_CV-QKD,QKD_CV-QKD,True,True,73.18,0.9
1,7,QKD_MDI-QKD,QKD_MDI-QKD,True,True,70.55,0.87
1,7,QKD_DECOY,QKD_DECOY,True,True,73.64,0.89
1,7,PQC_KYBER,AES_256_GCM,False,False,118.42,0.39
1,7,PQC_DILITHIUM,PQC_DILITHIUM,True,True,49.23,0.71
1,7,PQC_NTRU,PQC_NTRU,True,True,41.58,0.67
1,7,PQC_SABER,PQC_SABER,True,True,36.79,0.67
1,7,PQC_FALCON,PQC_FALCON,True,True,27.61,0.65
1,7,PQC_SPHINCS,PQC_SPHINCS,True,True,38.59,0.7
1,7,HYBRID_QKD_PQC,HYBRID_QKD_PQC,True,True,58.15,0.88
1,7,HYBRID_RSA_PQC,HYBRID_RSA_PQC,True,True,35.98,0.71
1,7,HYBRID_ECC_PQC,HYBRID_ECC_PQC,True,True,36.72,0.68
1,7,RSA_4096,RSA_4096,True,True,39.88,0.5
1,7,ECC_521,ECC_521,True,True,34.05,0.45
1,7,AES_256_GCM,AES_256_GCM,True,True,29.75,0.38
1,7,AES_192,AES_192,True,True,22.67,0.34
1,7,CHACHA20_POLY1305,CHACHA20_POLY1305,True,True,24.92,0.38
1,7,FALLBACK_AES,FALLBACK_AES,True,True,23.16,0.38
1,8,QKD_BB84,QKD_BB84,True,True,55.93,0.89
1,8,QKD_E91,QKD_E91,True,True,74.89,0.9
1,8,QKD_CV-QKD,QKD_CV-QKD,True,True,67.62,0.91
1,8,QKD_MDI-QKD,QKD_MDI-QKD,True,True,70.04,0.89
1,8,QKD_DECOY,QKD_DECOY,True,True,60.4,0.85
1,8,PQC_KYBER,PQC_KYBER,True,True,31.22,0.65
1,8,PQC_DILITHIUM,PQC_DILITHIUM,True,True,36.18,0.69
1,8,PQC_NTRU,PQC_NTRU,True,True,42.48,0.7
1,8,PQC_SABER,PQC_SABER,True,True,26.36,0.7
1,8,PQC_FALCON,PQC_FALCON,True,True,44.89,0.7
1,8,PQC_SPHINCS,PQC_SPHINCS,True,True,28.21,0.67
1,8,HYBRID_QKD_PQC,HYBRID_QKD_PQC,True,True,64.67,0.91
1,8,HYBRID_RSA_PQC,HYBRID_RSA_PQC,True,True,37.97,0.69
1,8,HYBRID_ECC_PQC,HYBRID_ECC_PQC,True,True,41.14,0.66
1,8,RSA_4096,QKD_E91,False,True,62.87,0.89
1,8,ECC_521,ECC_521,True,True,23.45,0.46
1,8,AES_256_GCM,AES_256_GCM,True,True,15.91,0.37
1,8,AES_192,AES_192,True,True,13.49,0.35
1,8,CHACHA20_POLY1305,CHACHA20_POLY1305,True,True,21.45,0.39
1,8,FALLBACK_AES,FALLBACK_AES,True,True,29.52,0.36
1,9,QKD_BB84,QKD_BB84,True,True,64.71,0.89
1,9,QKD_E91,QKD_E91,True,False,188.06,0.96
1,9,QKD_CV-QKD,QKD_MDI-QKD,False,True,68.54,0.86
1,9,QKD_MDI-QKD,QKD_MDI-QKD,True,True,61.75,0.91
1,9,QKD_DECOY,QKD_DECOY,True,True,65.08,0.88
1,9,PQC_KYBER,PQC_KYBER,True,True,38.2,0.71
1,9,PQC_DILITHIUM,PQC_DILITHIUM,True,True,26.22,0.7
1,9,PQC_NTRU,PQC_NTRU,True,True,41.76,0.69
1,9,PQC_SABER,PQC_SABER,True,True,45.85,0.69
1,9,PQC_FALCON,PQC_FALCON,True,True,34.15,0.69
1,9,PQC_SPHINCS,PQC_SPHINCS,True,True,39.01,0.68
1,9,HYBRID_QKD_PQC,HYBRID_QKD_PQC,True,True,69.62,0.9
1,9,HYBRID_RSA_PQC,HYBRID_RSA_PQC,True,True,44.21,0.69
1,9,HYBRID_ECC_PQC,HYBRID_ECC_PQC,True,True,37.9,0.68
1,9,RSA_4096,RSA_4096,True,True,21.19,0.54
1,9,ECC_521,ECC_521,True,True,23.54,0.47
1,9,AES_256_GCM,AES_256_GCM,True,True,27.3,0.36
1,9,AES_192,AES_192,True,True,19.39,0.35
1,9,CHACHA20_POLY1305,CHACHA20_POLY1305,True,True,21.77,0.38
1,9,FALLBACK_AES,FALLBACK_AES,True,True,15.96,0.37
1,10,QKD_BB84,QKD_BB84,True,True,65.17,0.88
1,10,QKD_E91,QKD_E91,True,True,66.51,0.89
1,10,QKD_CV-QKD,QKD_CV-QKD,True,True,69.17,0.85
1,10,QKD_MDI-QKD,QKD_MDI-QKD,True,True,54.36,0.87
1,10,QKD_DECOY,QKD_DECOY,True,True,64.54,0.9
1,10,PQC_KYBER,PQC_KYBER,True,True,36.59,0.66
1,10,PQC_DILITHIUM,PQC_DILITHIUM,True,True,42.49,0.68
1,10,PQC_NTRU,PQC_NTRU,True,True,25.19,0.66
1,10,PQC_SABER,PQC_SABER,True,True,47.61,0.71
1,10,PQC_FALCON,PQC_FALCON,True,True,47.28,0.68
1,10,PQC_SPHINCS,PQC_SPHINCS,True,True,31.51,0.69
1,10,HYBRID_QKD_PQC,HYBRID_QKD_PQC,True,True,72.95,0.88
1,10,HYBRID_RSA_PQC,HYBRID_RSA_PQC,True,True,35.08,0.68
1,10,HYBRID_ECC_PQC,HYBRID_ECC_PQC,True,True,44.99,0.68
1,10,RSA_4096,RSA_4096,True,True,23.36,0.52
1,10,ECC_521,ECC_521,True,True,30.95,0.48
1,10,AES_256_GCM,AES_256_GCM,True,True,18.78,0.33
1,10,AES_192,AES_192,True,True,17.85,0.37
1,10,CHACHA20_POLY1305,CHACHA20_POLY1305,True,True,19.03,0.39
1,10,FALLBACK_AES,FALLBACK_AES,True,True,17.51,0.34
1,11,QKD_BB84,ECC_521,False,True,34.0,0.46
1,11,QKD_E91,QKD_E91,True,True,46.13,0.9
1,11,QKD_CV-QKD,QKD_CV-QKD,True,True,69.86,0.88
1,11,QKD_MDI-QKD,QKD_MDI-QKD,True,True,68.13,0.86
1,11,QKD_DECOY,QKD_MDI-QKD,False,True,54.65,0.89
1,11,PQC_KYBER,PQC_KYBER,True,True,34.02,0.69
1,11,PQC_DILITHIUM,PQC_DILITHIUM,True,True,42.62,0.68
1,11,PQC_NTRU,PQC_NTRU,True,True,48.37,0.71
1,11,PQC_SABER,PQC_SABER,True,True,46.22,0.7
1,11,PQC_FALCON,PQC_FALCON,True,True,48.6,0.65
1,11,PQC_SPHINCS,PQC_SPHINCS,True,True,33.04,0.66
1,11,HYBRID_QKD_PQC,HYBRID_QKD_PQC,True,True,61.67,0.87
1,11,HYBRID_RSA_PQC,HYBRID_RSA_PQC,True,True,27.57,0.7
1,11,HYBRID_ECC_PQC,HYBRID_ECC_PQC,True,True,41.54,0.67
1,11,RSA_4096,RSA_4096,True,True,39.5,0.52
1,11,ECC_521,ECC_521,True,True,21.31,0.48
1,11,AES_256_GCM,AES_256_GCM,True,True,22.34,0.35
1,11,AES_192,AES_192,True,True,25.67,0.35
1,11,CHACHA20_POLY1305,CHACHA20_POLY1305,True,True,30.41,0.39
1,11,FALLBACK_AES,FALLBACK_AES,True,True,13.19,0.38
1,12,QKD_BB84,QKD_BB84,True,True,53.45,0.88
1,12,QKD_E91,QKD_E91,True,True,48.71,0.85
1,12,QKD_CV-QKD,QKD_CV-QKD,True,True,58.73,0.91
1,12,QKD_MDI-QKD,QKD_MDI-QKD,True,True,57.6,0.86
1,12,QKD_DECOY,HYBRID_RSA_PQC,False,True,43.6,0.69
1,12,PQC_KYBER,PQC_KYBER,True,True,25.7,0.69
1,12,PQC_DILITHIUM,PQC_DILITHIUM,True,True,37.27,0.69
1,12,PQC_NTRU,PQC_NTRU,True,True,46.91,0.67
1,12,PQC_SABER,PQC_SABER,True,True,45.24,0.67
1,12,PQC_FALCON,PQC_FALCON,True,True,29.81,0.67
1,12,PQC_SPHINCS,PQC_SPHINCS,True,True,39.5,0.69
1,12,HYBRID_QKD_PQC,HYBRID_QKD_PQC,True,True,48.39,0.88
1,12,HYBRID_RSA_PQC,PQC_SPHINCS,False,False,158.3,0.74
1,12,HYBRID_ECC_PQC,HYBRID_ECC_PQC,True,True,38.5,0.69
1,12,RSA_4096,RSA_4096,True,True,35.05,0.5
1,12,ECC_521,CHACHA20_POLY1305,False,True,30.16,0.38
1,12,AES_256_GCM,AES_256_GCM,True,True,22.55,0.33
1,12,AES_192,AES_192,True,True,10.8,0.33
1,12,CHACHA20_POLY1305,CHACHA20_POLY1305,True,True,25.7,0.41
1,12,FALLBACK_AES,FALLBACK_AES,True,True,28.21,0.38
1,13,QKD_BB84,QKD_BB84,True,True,48.51,0.88
1,13,QKD_E91,QKD_E91,True,True,74.75,0.87
1,13,QKD_CV-QKD,QKD_CV-QKD,True,True,46.66,0.86
1,13,QKD_MDI-QKD,QKD_MDI-QKD,True,True,46.0,0.85
1,13,QKD_DECOY,QKD_DECOY,True,True,72.64,0.87
1,13,PQC_KYBER,PQC_KYBER,True,True,25.67,0.7
1,13,PQC_DILITHIUM,PQC_DILITHIUM,True,True,34.34,0.67
1,13,PQC_NTRU,PQC_NTRU,True,False,183.26,0.76
1,13,PQC_SABER,PQC_SABER,True,True,36.75,0.66
1,13,PQC_FALCON,PQC_FALCON,True,True,44.46,0.68
1,13,PQC_SPHINCS,PQC_SPHINCS,True,True,48.19,0.67
1,13,HYBRID_QKD_PQC,QKD_CV-QKD,False,False,254.7,0.99
1,13,HYBRID_RSA_PQC,HYBRID_RSA_PQC,True,True,30.79,0.7
1,13,HYBRID_ECC_PQC,HYBRID_ECC_PQC,True,True,35.93,0.66
1,13,RSA_4096,RSA_4096,True,False,104.22,0.55
1,13,ECC_521,ECC_521,True,True,25.97,0.46
1,13,AES_256_GCM,AES_256_GCM,True,True,18.01,0.37
1,13,AES_192,AES_192,True,True,21.78,0.36
1,13,CHACHA20_POLY1305,CHACHA20_POLY1305,True,True,31.95,0.38
1,13,FALLBACK_AES,FALLBACK_AES,True,True,14.8,0.36
1,14,QKD_BB84,QKD_BB84,True,True,59.2,0.87
1,14,QKD_E91,QKD_E91,True,True,74.24,0.9
1,14,QKD_CV-QKD,QKD_CV-QKD,True,True,55.82,0.86
1,14,QKD_MDI-QKD,QKD_MDI-QKD,True,True,63.23,0.85
1,14,QKD_DECOY,QKD_DECOY,True,True,68.48,0.88
1,14,PQC_KYBER,PQC_KYBER,True,True,30.88,0.69
1,14,PQC_DILITHIUM,PQC_DILITHIUM,True,True,31.67,0.66
1,14,PQC_NTRU,PQC_NTRU,True,True,33.91,0.71
1,14,PQC_SABER,PQC_SABER,True,True,41.23,0.67
1,14,PQC_FALCON,PQC_FALCON,True,True,46.36,0.66
1,14,PQC_SPHINCS,PQC_SPHINCS,True,True,32.56,0.7
1,14,HYBRID_QKD_PQC,HYBRID_QKD_PQC,True,True,63.04,0.91
1,14,HYBRID_RSA_PQC,HYBRID_RSA_PQC,True,True,41.76,0.7
1,14,HYBRID_ECC_PQC,HYBRID_ECC_PQC,True,True,30.55,0.7
1,14,RSA_4096,RSA_4096,True,True,20.57,0.5
1,14,ECC_521,ECC_521,True,True,32.46,0.5
1,14,AES_256_GCM,AES_256_GCM,True,True,19.16,0.37
1,14,AES_192,AES_192,True,True,11.3,0.34
1,14,CHACHA20_POLY1305,CHACHA20_POLY1305,True,True,14.12,0.37
1,14,FALLBACK_AES,FALLBACK_AES,True,True,12.13,0.37
1,15,QKD_BB84,QKD_BB84,True,True,54.3,0.89
1,15,QKD_E91,QKD_E91,True,True,54.82,0.91
1,15,QKD_CV-QKD,QKD_CV-QKD,True,True,66.66,0.9
1,15,QKD_MDI-QKD,QKD_MDI-QKD,True,True,60.2,0.87
1,15,QKD_DECOY,QKD_DECOY,True,True,49.59,0.86
1,15,PQC_KYBER,PQC_KYBER,True,False,142.9,0.77
1,15,PQC_DILITHIUM,PQC_DILITHIUM,True,True,26.16,0.66
1,15,PQC_NTRU,PQC_NTRU,True,True,40.88,0.67
1,15,PQC_SABER,PQC_SABER,True,True,37.73,0.66
1,15,PQC_FALCON,PQC_FALCON,True,True,30.79,0.66
1,15,PQC_SPHINCS,PQC_SPHINCS,True,True,32.9,0.65
1,15,HYBRID_QKD_PQC,HYBRID_QKD_PQC,True,True,48.3,0.88
1,15,HYBRID_RSA_PQC,HYBRID_RSA_PQC,True,True,35.45,0.7
1,15,HYBRID_ECC_PQC,HYBRID_ECC_PQC,True,True,32.25,0.7
1,15,RSA_4096,QKD_CV-QKD,False,False,195.0,0.98
1,15,ECC_521,ECC_521,True,True,32.82,0.46
1,15,AES_256_GCM,AES_256_GCM,True,True,27.88,0.37
1,15,AES_192,AES_192,True,True,13.61,0.38
1,15,CHACHA20_POLY1305,CHACHA20_POLY1305,True,True,15.82,0.41
1,15,FALLBACK_AES,FALLBACK_AES,True,True,18.11,0.38
1,16,QKD_BB84,QKD_BB84,True,True,54.91,0.86
1,16,QKD_E91,QKD_E91,True,True,69.4,0.86
1,16,QKD_CV-QKD,QKD_CV-QKD,True,True,72.4,0.89
1,16,QKD_MDI-QKD,QKD_MDI-QKD,True,True,70.99,0.9
1,16,QKD_DECOY,QKD_DECOY,True,True,53.69,0.87
1,16,PQC_KYBER,PQC_KYBER,True,True,39.82,0.7
1,16,PQC_DILITHIUM,PQC_DILITHIUM,True,True,41.78,0.69
1,16,PQC_NTRU,PQC_NTRU,True,True,45.2,0.69
1,16,PQC_SABER,PQC_SABER,True,True,38.23,0.7
1,16,PQC_FALCON,PQC_FALCON,True,True,42.01,0.66
1,16,PQC_SPHINCS,PQC_SPHINCS,True,True,48.06,0.7
1,16,HYBRID_QKD_PQC,HYBRID_QKD_PQC,True,True,47.26,0.88
1,16,HYBRID_RSA_PQC,HYBRID_RSA_PQC,True,True,43.99,0.71
1,16,HYBRID_ECC_PQC,HYBRID_ECC_PQC,True,True,41.94,0.7
1,16,RSA_4096,RSA_4096,True,True,29.55,0.51
1,16,ECC_521,CHACHA20_POLY1305,False,True,13.52,0.39
1,16,AES_256_GCM,AES_256_GCM,True,False,112.57,0.42
1,16,AES_192,AES_192,True,True,24.64,0.35
1,16,CHACHA20_POLY1305,CHACHA20_POLY1305,True,True,26.81,0.38
1,16,FALLBACK_AES,FALLBACK_AES,True,True,21.03,0.36
1,17,QKD_BB84,QKD_BB84,True,True,61.65,0.91
1,17,QKD_E91,QKD_E91,True,True,54.86,0.88
1,17,QKD_CV-QKD,QKD_CV-QKD,True,True,45.87,0.85
1,17,QKD_MDI-QKD,QKD_MDI-QKD,True,True,56.0,0.86
1,17,QKD_DECOY,QKD_DECOY,True,True,67.29,0.9
1,17,PQC_KYBER,PQC_KYBER,True,True,34.12,0.65
1,17,PQC_DILITHIUM,PQC_DILITHIUM,True,True,41.63,0.66
1,17,PQC_NTRU,PQC_NTRU,True,True,47.1,0.66
1,17,PQC_SABER,PQC_SABER,True,True,34.95,0.69
1,17,PQC_FALCON,PQC_FALCON,True,True,38.55,0.7
1,17,PQC_SPHINCS,PQC_SPHINCS,True,True,30.24,0.7
1,17,HYBRID_QKD_PQC,QKD_DECOY,False,True,48.79,0.89
1,17,HYBRID_RSA_PQC,HYBRID_RSA_PQC,True,True,30.92,0.68
1,17,HYBRID_ECC_PQC,HYBRID_ECC_PQC,True,True,40.47,0.69
1,17,RSA_4096,RSA_4096,True,True,27.91,0.5
1,17,ECC_521,ECC_521,True,True,19.45,0.5
1,17,AES_256_GCM,HYBRID_ECC_PQC,False,False,138.33,0.76
1,17,AES_192,AES_192,True,True,17.58,0.33
1,17,CHACHA20_POLY1305,CHACHA20_POLY1305,True,True,25.16,0.41
1,17,FALLBACK_AES,FALLBACK_AES,True,True,20.22,0.33
1,18,QKD_BB84,QKD_BB84,True,True,66.22,0.86
1,18,QKD_E91,PQC_KYBER,False,True,46.24,0.67
1,18,QKD_CV-QKD,QKD_CV-QKD,True,True,51.86,0.87
1,18,QKD_MDI-QKD,QKD_MDI-QKD,True,True,73.74,0.86
1,18,QKD_DECOY,PQC_KYBER,False,True,42.97,0.68
1,18,PQC_KYBER,PQC_KYBER,True,True,35.95,0.65
1,18,PQC_DILITHIUM,PQC_DILITHIUM,True,True,25.8,0.71
1,18,PQC_NTRU,PQC_NTRU,True,True,33.08,0.66
1,18,PQC_SABER,PQC_SABER,True,True,46.39,0.66
1,18,PQC_FALCON,PQC_FALCON,True,True,26.18,0.68
1,18,PQC_SPHINCS,PQC_SPHINCS,True,True,36.52,0.68
1,18,HYBRID_QKD_PQC,HYBRID_QKD_PQC,True,True,57.67,0.86
1,18,HYBRID_RSA_PQC,HYBRID_RSA_PQC,True,True,32.1,0.68
1,18,HYBRID_ECC_PQC,HYBRID_ECC_PQC,True,True,35.2,0.69
1,18,RSA_4096,RSA_4096,True,True,33.4,0.52
1,18,ECC_521,ECC_521,True,True,23.24,0.49
1,18,AES_256_GCM,AES_256_GCM,True,True,26.64,0.37
1,18,AES_192,AES_192,True,True,23.42,0.34
1,18,CHACHA20_POLY1305,CHACHA20_POLY1305,True,False,102.42,0.42
1,18,FALLBACK_AES,FALLBACK_AES,True,True,25.71,0.38
1,19,QKD_BB84,QKD_BB84,True,True,45.1,0.87
1,19,QKD_E91,QKD_E91,True,True,72.76,0.87
1,19,QKD_CV-QKD,QKD_CV-QKD,True,True,47.18,0.91
1,19,QKD_MDI-QKD,QKD_MDI-QKD,True,True,57.57,0.91
1,19,QKD_DECOY,QKD_DECOY,True,True,48.46,0.86
1,19,PQC_KYBER,PQC_KYBER,True,True,40.32,0.67
1,19,PQC_DILITHIUM,PQC_DILITHIUM,True,True,30.14,0.67
1,19,PQC_NTRU,PQC_SABER,False,True,35.87,0.68
1,19,PQC_SABER,PQC_SABER,True,True,39.84,0.67
1,19,PQC_FALCON,PQC_FALCON,True,True,29.81,0.66
1,19,PQC_SPHINCS,PQC_SPHINCS,True,True,48.09,0.67
1,19,HYBRID_QKD_PQC,HYBRID_QKD_PQC,True,True,64.3,0.88
1,19,HYBRID_RSA_PQC,HYBRID_RSA_PQC,True,True,26.22,0.68
1,19,HYBRID_ECC_PQC,HYBRID_ECC_PQC,True,True,38.73,0.67
1,19,RSA_4096,RSA_4096,True,True,35.64,0.5
1,19,ECC_521,ECC_521,True,True,35.93,0.51
1,19,AES_256_GCM,AES_256_GCM,True,True,14.92,0.35
1,19,AES_192,AES_192,True,True,11.59,0.34
1,19,CHACHA20_POLY1305,CHACHA20_POLY1305,True,True,15.38,0.41
1,19,FALLBACK_AES,FALLBACK_AES,True,True,29.04,0.35
1,20,QKD_BB84,QKD_BB84,True,True,65.95,0.89
1,20,QKD_E91,QKD_E91,True,True,66.2,0.89
1,20,QKD_CV-QKD,QKD_CV-QKD,True,False,271.34,0.95
1,20,QKD_MDI-QKD,QKD_MDI-QKD,True,True,49.12,0.88
1,20,QKD_DECOY,HYBRID_ECC_PQC,False,True,47.27,0.65
1,20,PQC_KYBER,PQC_KYBER,True,True,48.65,0.67
1,20,PQC_DILITHIUM,PQC_DILITHIUM,True,True,36.45,0.68
1,20,PQC_NTRU,PQC_NTRU,True,False,133.92,0.74
1,20,PQC_SABER,PQC_SABER,True,True,32.13,0.67
