scenario_name,scenario_category,expected_algorithm,request_id,security_level,risk_score,conf_score,has_qkd,proposed_algorithms,fallback_algorithms,response_time,feedback_success,feedback_latency,feedback_resource_usage,diversity_penalty,diversity_bonus,base_success_prob,timestamp
QKD E91 - Entanglement Based,quantum_e91,QKD_E91,qkd-e91-002,very_high,0.9,0.93,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.146686315536499,False,243.69,1.0,0.1,0.05,0.475,2025-12-10T07:27:52.762585
QKD CV-QKD - Continuous Variable,quantum_cv,QKD_CV-QKD,qkd-cv-003,high,0.85,0.88,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.097577333450317,True,77.32,1.0,0.1,0.0,0.45,2025-12-10T07:28:01.102475
QKD MDI-QKD - Measurement Device Independent,quantum_mdi,QKD_MDI-QKD,qkd-mdi-004,high,0.83,0.86,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.098339080810547,False,273.5,1.0,0.1,0.0,0.45,2025-12-10T07:28:09.451159
QKD DECOY - Decoy State Protocol,quantum_decoy,QKD_DECOY,qkd-decoy-005,very_high,0.91,0.94,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.11566686630249,False,260.74,1.0,0.1,0.0,0.45,2025-12-10T07:28:17.775147
PQC KYBER - Post-Quantum KEM,pqc_kyber,PQC_KYBER,pqc-kyber-006,ultra,0.93,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.134706974029541,True,20.55,0.63,0.1,0.0,0.83,2025-12-10T07:28:26.154680
PQC DILITHIUM - Digital Signature,pqc_dilithium,PQC_DILITHIUM,pqc-dilithium-007,very_high,0.88,0.91,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.129434585571289,False,160.45,0.81,0.1,0.0,0.45,2025-12-10T07:28:34.520129
PQC NTRU - Lattice-Based Encryption,pqc_ntru,PQC_NTRU,pqc-ntru-008,very_high,0.86,0.89,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.109493732452393,True,52.77,0.81,0.1,0.0,0.45,2025-12-10T07:28:42.863131
PQC SABER - Module Learning,pqc_saber,PQC_SABER,pqc-saber-009,high,0.8,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.0994462966918945,False,170.96,0.83,0.1,0.0,0.45,2025-12-10T07:28:51.202801
PQC FALCON - Fast Fourier Lattice,pqc_falcon,PQC_FALCON,pqc-falcon-010,ultra,0.94,0.97,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.098604202270508,False,118.71,0.8,0.1,0.0,0.45,2025-12-10T07:28:59.539240
PQC SPHINCS+ - Stateless Hash-Based,pqc_sphincs,PQC_SPHINCS,pqc-sphincs-011,very_high,0.89,0.92,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.108889579772949,False,188.19,0.79,0.1,0.0,0.45,2025-12-10T07:29:07.868008
HYBRID QKD+PQC - Maximum Security,hybrid_qkd_pqc,HYBRID_QKD_PQC,hybrid-qkd-pqc-012,ultra,0.97,0.99,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.1234917640686035,False,278.38,1.0,0.1,0.0,0.45,2025-12-10T07:29:16.225779
HYBRID RSA+PQC - Transition Security,hybrid_rsa,HYBRID_RSA_PQC,hybrid-rsa-013,very_high,0.82,0.85,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.117267608642578,False,142.27,0.79,0.1,0.0,0.45,2025-12-10T07:29:24.589245
HYBRID ECC+PQC - Elliptic Curve Hybrid,hybrid_ecc,HYBRID_ECC_PQC,hybrid-ecc-014,high,0.75,0.79,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.112231016159058,False,108.12,0.81,0.1,0.0,0.45,2025-12-10T07:29:32.922194
RSA 4096 - Classical Strong,classical_rsa,RSA_4096,rsa-4096-015,high,0.7,0.74,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.114837169647217,False,156.43,0.61,0.1,0.0,0.45,2025-12-10T07:29:41.292954
ECC 521 - Elliptic Curve,classical_ecc,ECC_521,ecc-521-016,high,0.72,0.76,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.0897228717803955,True,54.8,0.58,0.1,0.0,0.45,2025-12-10T07:29:49.615587
AES 256 GCM - Symmetric Encryption,classical_aes256,AES_256_GCM,aes-256-017,moderate,0.55,0.6,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.109403133392334,True,20.83,0.36,0.1,0.0,0.83,2025-12-10T07:29:57.950068
AES 192 - Medium Symmetric,classical_aes192,AES_192,aes-192-018,moderate,0.5,0.55,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.108121395111084,True,22.42,0.42,0.1,0.0,0.45,2025-12-10T07:30:06.289757
ChaCha20-Poly1305 - Stream Cipher,classical_chacha,CHACHA20_POLY1305,chacha20-019,moderate,0.52,0.57,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.141570329666138,True,41.06,0.5,0.1,0.0,0.45,2025-12-10T07:30:14.682109
FALLBACK AES - Emergency Mode,fallback,FALLBACK_AES,fallback-aes-020,moderate,0.6,0.65,False,"['AES_192', 'AES_256_GCM']",[],6.107233047485352,False,114.64,0.36,0.05,0.05,0.525,2025-12-10T07:30:23.020002
QKD BB84 - Ultra Security,quantum_bb84,QKD_BB84,qkd-bb84-001,ultra,0.95,0.98,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.119668483734131,True,55.41,0.79,0.1,0.05,0.88,2025-12-10T07:30:31.887403
QKD E91 - Entanglement Based,quantum_e91,QKD_E91,qkd-e91-002,very_high,0.9,0.93,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.105335474014282,False,238.23,1.0,0.1,0.05,0.475,2025-12-10T07:30:40.237498
QKD CV-QKD - Continuous Variable,quantum_cv,QKD_CV-QKD,qkd-cv-003,high,0.85,0.88,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.131623983383179,False,255.33,1.0,0.1,0.05,0.475,2025-12-10T07:30:48.608189
QKD MDI-QKD - Measurement Device Independent,quantum_mdi,QKD_MDI-QKD,qkd-mdi-004,high,0.83,0.86,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.075800180435181,True,93.65,1.0,0.1,0.05,0.475,2025-12-10T07:30:56.922790
QKD DECOY - Decoy State Protocol,quantum_decoy,QKD_DECOY,qkd-decoy-005,very_high,0.91,0.94,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.10388445854187,False,223.69,1.0,0.1,0.0,0.45,2025-12-10T07:31:05.280866
PQC KYBER - Post-Quantum KEM,pqc_kyber,PQC_KYBER,pqc-kyber-006,ultra,0.93,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.143387317657471,False,156.83,0.59,0.1,0.0,0.83,2025-12-10T07:31:13.647703
PQC DILITHIUM - Digital Signature,pqc_dilithium,PQC_DILITHIUM,pqc-dilithium-007,very_high,0.88,0.91,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.112522602081299,False,125.96,0.8,0.1,0.0,0.45,2025-12-10T07:31:22.001558
PQC NTRU - Lattice-Based Encryption,pqc_ntru,PQC_NTRU,pqc-ntru-008,very_high,0.86,0.89,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.0801310539245605,False,135.15,0.82,0.1,0.0,0.45,2025-12-10T07:31:30.335573
PQC SABER - Module Learning,pqc_saber,PQC_SABER,pqc-saber-009,high,0.8,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1074583530426025,False,121.97,0.79,0.1,0.0,0.45,2025-12-10T07:31:38.658244
PQC FALCON - Fast Fourier Lattice,pqc_falcon,PQC_FALCON,pqc-falcon-010,ultra,0.94,0.97,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.137145519256592,False,121.74,0.81,0.1,0.0,0.45,2025-12-10T07:31:47.036554
PQC SPHINCS+ - Stateless Hash-Based,pqc_sphincs,PQC_SPHINCS,pqc-sphincs-011,very_high,0.89,0.92,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.135992527008057,False,149.98,0.8,0.1,0.0,0.45,2025-12-10T07:31:55.415935
HYBRID QKD+PQC - Maximum Security,hybrid_qkd_pqc,HYBRID_QKD_PQC,hybrid-qkd-pqc-012,ultra,0.97,0.99,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.099612712860107,False,237.83,1.0,0.1,0.05,0.475,2025-12-10T07:32:03.761374
HYBRID RSA+PQC - Transition Security,hybrid_rsa,HYBRID_RSA_PQC,hybrid-rsa-013,very_high,0.82,0.85,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.077127456665039,False,112.36,0.79,0.1,0.0,0.45,2025-12-10T07:32:12.059877
HYBRID ECC+PQC - Elliptic Curve Hybrid,hybrid_ecc,HYBRID_ECC_PQC,hybrid-ecc-014,high,0.75,0.79,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1442766189575195,False,107.15,0.83,0.1,0.0,0.45,2025-12-10T07:32:20.458334
RSA 4096 - Classical Strong,classical_rsa,RSA_4096,rsa-4096-015,high,0.7,0.74,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.13154149055481,False,157.56,0.64,0.1,0.0,0.45,2025-12-10T07:32:28.832294
ECC 521 - Elliptic Curve,classical_ecc,ECC_521,ecc-521-016,high,0.72,0.76,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.123242378234863,False,121.71,0.59,0.1,0.0,0.45,2025-12-10T07:32:37.175599
AES 256 GCM - Symmetric Encryption,classical_aes256,AES_256_GCM,aes-256-017,moderate,0.55,0.6,False,"['RSA_4096', 'AES_256_GCM']",[],6.122840166091919,False,107.39,0.35,0.1,0.05,0.88,2025-12-10T07:32:45.546232
AES 192 - Medium Symmetric,classical_aes192,AES_192,aes-192-018,moderate,0.5,0.55,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.12496280670166,True,16.0,0.45,0.15,0.0,0.4,2025-12-10T07:32:53.912492
ChaCha20-Poly1305 - Stream Cipher,classical_chacha,CHACHA20_POLY1305,chacha20-019,moderate,0.52,0.57,False,['AES_256_GCM'],[],6.108238220214844,False,129.81,0.5,0.1,0.0,0.45,2025-12-10T07:33:02.228892
FALLBACK AES - Emergency Mode,fallback,FALLBACK_AES,fallback-aes-020,moderate,0.6,0.65,False,"['AES_192', 'AES_256_GCM']",[],6.112535715103149,False,131.2,0.4,0.1,0.05,0.475,2025-12-10T07:33:10.599395
QKD BB84 - Ultra Security,quantum_bb84,QKD_BB84,qkd-bb84-001,ultra,0.95,0.98,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.082607746124268,True,59.45,0.78,0.15,0.0,0.78,2025-12-10T07:33:19.408974
QKD E91 - Entanglement Based,quantum_e91,QKD_E91,qkd-e91-002,very_high,0.9,0.93,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.1072423458099365,False,208.84,1.0,0.15,0.0,0.4,2025-12-10T07:33:27.740585
QKD CV-QKD - Continuous Variable,quantum_cv,QKD_CV-QKD,qkd-cv-003,high,0.85,0.88,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.0953943729400635,False,199.54,1.0,0.15,0.0,0.4,2025-12-10T07:33:36.097924
QKD MDI-QKD - Measurement Device Independent,quantum_mdi,QKD_MDI-QKD,qkd-mdi-004,high,0.83,0.86,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.130403280258179,True,101.14,1.0,0.15,0.0,0.4,2025-12-10T07:33:44.463284
QKD DECOY - Decoy State Protocol,quantum_decoy,QKD_DECOY,qkd-decoy-005,very_high,0.91,0.94,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.123497486114502,False,295.54,1.0,0.15,0.0,0.4,2025-12-10T07:33:52.838593
PQC KYBER - Post-Quantum KEM,pqc_kyber,PQC_KYBER,pqc-kyber-006,ultra,0.93,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.103658199310303,True,26.11,0.58,0.15,0.0,0.78,2025-12-10T07:34:01.184489
PQC DILITHIUM - Digital Signature,pqc_dilithium,PQC_DILITHIUM,pqc-dilithium-007,very_high,0.88,0.91,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.0841288566589355,True,44.91,0.81,0.15,0.0,0.4,2025-12-10T07:34:09.503499
PQC NTRU - Lattice-Based Encryption,pqc_ntru,PQC_NTRU,pqc-ntru-008,very_high,0.86,0.89,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.111451864242554,False,136.38,0.8,0.15,0.0,0.4,2025-12-10T07:34:17.837753
PQC SABER - Module Learning,pqc_saber,PQC_SABER,pqc-saber-009,high,0.8,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.107820510864258,True,53.53,0.79,0.15,0.0,0.4,2025-12-10T07:34:26.180670
PQC FALCON - Fast Fourier Lattice,pqc_falcon,PQC_FALCON,pqc-falcon-010,ultra,0.94,0.97,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.088335275650024,False,157.18,0.83,0.15,0.0,0.4,2025-12-10T07:34:34.515953
PQC SPHINCS+ - Stateless Hash-Based,pqc_sphincs,PQC_SPHINCS,pqc-sphincs-011,very_high,0.89,0.92,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.078609466552734,False,149.57,0.79,0.15,0.0,0.4,2025-12-10T07:34:42.834356
HYBRID QKD+PQC - Maximum Security,hybrid_qkd_pqc,HYBRID_QKD_PQC,hybrid-qkd-pqc-012,ultra,0.97,0.99,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.148767471313477,False,299.7,1.0,0.15,0.0,0.4,2025-12-10T07:34:51.243663
HYBRID RSA+PQC - Transition Security,hybrid_rsa,HYBRID_RSA_PQC,hybrid-rsa-013,very_high,0.82,0.85,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.095255136489868,True,33.73,0.81,0.15,0.0,0.4,2025-12-10T07:34:59.593964
HYBRID ECC+PQC - Elliptic Curve Hybrid,hybrid_ecc,HYBRID_ECC_PQC,hybrid-ecc-014,high,0.75,0.79,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.135472774505615,False,137.56,0.81,0.15,0.0,0.4,2025-12-10T07:35:07.974674
RSA 4096 - Classical Strong,classical_rsa,RSA_4096,rsa-4096-015,high,0.7,0.74,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.093621492385864,False,109.97,0.62,0.15,0.0,0.4,2025-12-10T07:35:16.318153
ECC 521 - Elliptic Curve,classical_ecc,ECC_521,ecc-521-016,high,0.72,0.76,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.088346242904663,True,50.91,0.57,0.15,0.0,0.4,2025-12-10T07:35:24.644108
AES 256 GCM - Symmetric Encryption,classical_aes256,AES_256_GCM,aes-256-017,moderate,0.55,0.6,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.118470668792725,True,25.28,0.33,0.15,0.0,0.78,2025-12-10T07:35:32.996851
AES 192 - Medium Symmetric,classical_aes192,AES_192,aes-192-018,moderate,0.5,0.55,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.078127861022949,True,38.86,0.41,0.15,0.0,0.4,2025-12-10T07:35:41.312048
ChaCha20-Poly1305 - Stream Cipher,classical_chacha,CHACHA20_POLY1305,chacha20-019,moderate,0.52,0.57,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.100868225097656,False,123.27,0.5,0.15,0.0,0.4,2025-12-10T07:35:49.645650
FALLBACK AES - Emergency Mode,fallback,FALLBACK_AES,fallback-aes-020,moderate,0.6,0.65,False,"['AES_192', 'AES_256_GCM']",[],6.10144829750061,False,128.33,0.39,0.1,0.05,0.475,2025-12-10T07:35:57.967427
QKD BB84 - Ultra Security,quantum_bb84,QKD_BB84,qkd-bb84-001,ultra,0.95,0.98,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.09749436378479,True,59.84,0.82,0.15,0.0,0.78,2025-12-10T07:36:06.783846
QKD E91 - Entanglement Based,quantum_e91,QKD_E91,qkd-e91-002,very_high,0.9,0.93,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.110475778579712,True,102.09,1.0,0.15,0.0,0.4,2025-12-10T07:36:15.107023
QKD CV-QKD - Continuous Variable,quantum_cv,QKD_CV-QKD,qkd-cv-003,high,0.85,0.88,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.101577520370483,False,253.5,1.0,0.15,0.0,0.4,2025-12-10T07:36:23.441343
