scenario_name,scenario_category,request_id,security_level,risk_score,conf_score,has_qkd,proposed_algorithms,fallback_algorithms,response_time,feedback_success,feedback_latency,feedback_resource_usage,timestamp,system_load,available_resources,network_latency
Hybrid High - ECC+PQC,hybrid,hybrid-high-ecc-013,high,0.72,0.76,False,"['ECC_521', 'AES_256_GCM']",[],6.111498117446899,True,34.86,0.46,2025-10-22T09:07:36.543345,0.55,0.7,
PQC Very High - DILITHIUM,post_quantum,pqc-veryhigh-dilithium-007,very_high,0.85,0.88,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.102945327758789,True,37.9,0.66,2025-10-22T09:07:46.483390,0.55,0.7,
PQC High - SABER,post_quantum,pqc-high-saber-009,high,0.78,0.82,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.10368275642395,True,48.34,0.67,2025-10-22T09:07:54.901235,0.58,0.68,
Hybrid Very High - RSA+PQC,hybrid,hybrid-veryhigh-rsa-012,very_high,0.78,0.82,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.112191677093506,True,53.84,0.65,2025-10-22T09:08:03.349638,0.5,0.75,
PQC Ultra - FALCON,post_quantum,pqc-ultra-falcon-010,ultra,0.94,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.086689710617065,True,51.07,0.65,2025-10-22T09:08:11.786182,0.48,0.78,
QKD High - CV-QKD,quantum,qkd-high-cv-003,high,0.82,0.87,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.08273983001709,True,61.11,0.85,2025-10-22T09:08:20.209564,0.45,0.8,
PQC Ultra - KYBER,post_quantum,pqc-ultra-kyber-006,ultra,0.92,0.95,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.081337928771973,True,46.34,0.65,2025-10-22T09:08:28.625016,0.5,0.75,
Stress - High Load + QKD,stress_test,stress-highload-019,high,0.88,0.85,True,"['AES_256_GCM', 'PQC_KYBER']",[],6.104398488998413,False,53.82,0.51,2025-10-22T09:08:37.058871,0.88,0.3,
Classical High - ECC-521,classical,classical-high-ecc-018,high,0.68,0.72,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.120169162750244,True,43.35,0.67,2025-10-22T09:08:45.496852,0.62,0.58,
QKD Very High - DECOY,quantum,qkd-veryhigh-decoy-005,very_high,0.86,0.9,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.117038249969482,True,76.1,0.84,2025-10-22T09:08:53.944998,0.38,0.85,
Hybrid High - ECC+PQC,hybrid,hybrid-high-ecc-013,high,0.72,0.76,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.126940727233887,True,41.78,0.66,2025-10-22T09:09:02.414309,0.55,0.7,
QKD High - MDI-QKD,quantum,qkd-high-mdi-004,high,0.8,0.85,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.130270719528198,True,68.68,0.85,2025-10-22T09:09:10.878436,0.48,0.78,
PQC High - SPHINCS,post_quantum,pqc-high-sphincs-011,high,0.76,0.8,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1341893672943115,True,48.29,0.67,2025-10-22T09:09:19.362102,0.6,0.65,
QKD Ultra Security - BB84,quantum,qkd-ultra-bb84-001,ultra,0.95,0.98,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.098414421081543,True,49.94,0.83,2025-10-22T09:09:27.808008,0.3,0.9,
PQC Very High - NTRU,post_quantum,pqc-veryhigh-ntru-008,very_high,0.83,0.86,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.154258728027344,True,36.61,0.66,2025-10-22T09:09:36.308084,0.52,0.72,
QKD Very High - E91,quantum,qkd-veryhigh-e91-002,very_high,0.88,0.92,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.147802829742432,True,57.09,0.83,2025-10-22T09:09:44.798415,0.35,0.88,
Classical High - AES-256,classical,classical-high-aes256-016,high,0.65,0.7,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.130826473236084,True,39.85,0.67,2025-10-22T09:09:53.279210,0.6,0.6,
Hybrid Very High - Mixed,hybrid,hybrid-veryhigh-mixed-014,very_high,0.81,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.15588641166687,True,40.85,0.65,2025-10-22T09:10:01.770565,0.48,0.76,
Hybrid High - Transition,hybrid,hybrid-high-trans-015,high,0.7,0.74,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.142913818359375,True,54.61,0.67,2025-10-22T09:10:10.239688,0.58,0.68,
Network - High Latency,network_conditions,network-highlatency-020,high,0.7,0.73,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.124176263809204,True,105.26,0.66,2025-10-22T09:10:18.698311,0.55,0.65,280.0
Classical Moderate - RSA-4096,classical,classical-mod-rsa-017,moderate,0.5,0.55,False,['AES_256_GCM'],[],6.102534294128418,False,85.3,0.48,2025-10-22T09:10:27.148779,0.65,0.55,
Hybrid Very High - RSA+PQC,hybrid,hybrid-veryhigh-rsa-012,very_high,0.78,0.82,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.099225759506226,True,43.87,0.65,2025-10-22T09:10:37.085630,0.5,0.75,
PQC High - SABER,post_quantum,pqc-high-saber-009,high,0.78,0.82,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.143864393234253,True,50.63,0.67,2025-10-22T09:10:45.571514,0.58,0.68,
PQC Very High - DILITHIUM,post_quantum,pqc-veryhigh-dilithium-007,very_high,0.85,0.88,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.143466472625732,True,43.08,0.66,2025-10-22T09:10:54.063751,0.55,0.7,
Classical High - AES-256,classical,classical-high-aes256-016,high,0.65,0.7,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.146064519882202,True,42.81,0.67,2025-10-22T09:11:02.554034,0.6,0.6,
QKD Very High - DECOY,quantum,qkd-veryhigh-decoy-005,very_high,0.86,0.9,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.154353380203247,True,71.23,0.84,2025-10-22T09:11:11.062228,0.38,0.85,
Stress - High Load + QKD,stress_test,stress-highload-019,high,0.88,0.85,True,"['AES_256_GCM', 'PQC_KYBER']",[],6.124896049499512,False,58.32,0.51,2025-10-22T09:11:19.536352,0.88,0.3,
QKD High - MDI-QKD,quantum,qkd-high-mdi-004,high,0.8,0.85,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.151259183883667,True,74.38,0.85,2025-10-22T09:11:28.026378,0.48,0.78,
QKD Ultra Security - BB84,quantum,qkd-ultra-bb84-001,ultra,0.95,0.98,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.08557391166687,True,48.07,0.83,2025-10-22T09:11:36.449068,0.3,0.9,
Classical Moderate - RSA-4096,classical,classical-mod-rsa-017,moderate,0.5,0.55,False,['AES_256_GCM'],[],6.118685960769653,True,33.24,0.48,2025-10-22T09:11:44.902451,0.65,0.55,
PQC Ultra - FALCON,post_quantum,pqc-ultra-falcon-010,ultra,0.94,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.108921051025391,True,40.11,0.65,2025-10-22T09:11:53.359993,0.48,0.78,
Hybrid High - Transition,hybrid,hybrid-high-trans-015,high,0.7,0.74,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.130906820297241,True,30.32,0.67,2025-10-22T09:12:01.827936,0.58,0.68,
Hybrid Very High - Mixed,hybrid,hybrid-veryhigh-mixed-014,very_high,0.81,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.128883123397827,True,31.69,0.65,2025-10-22T09:12:10.310345,0.48,0.76,
QKD High - CV-QKD,quantum,qkd-high-cv-003,high,0.82,0.87,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.130406856536865,True,54.8,0.85,2025-10-22T09:12:18.790566,0.45,0.8,
PQC Ultra - KYBER,post_quantum,pqc-ultra-kyber-006,ultra,0.92,0.95,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.142261981964111,True,30.57,0.65,2025-10-22T09:12:27.265942,0.5,0.75,
Classical High - ECC-521,classical,classical-high-ecc-018,high,0.68,0.72,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1106250286102295,True,53.78,0.67,2025-10-22T09:12:35.722302,0.62,0.58,
PQC Very High - NTRU,post_quantum,pqc-veryhigh-ntru-008,very_high,0.83,0.86,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1133880615234375,True,28.74,0.66,2025-10-22T09:12:44.185236,0.52,0.72,
Network - High Latency,network_conditions,network-highlatency-020,high,0.7,0.73,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.134380340576172,True,116.45,0.66,2025-10-22T09:12:52.672134,0.55,0.65,280.0
PQC High - SPHINCS,post_quantum,pqc-high-sphincs-011,high,0.76,0.8,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.108562231063843,True,44.41,0.67,2025-10-22T09:13:01.120428,0.6,0.65,
QKD Very High - E91,quantum,qkd-veryhigh-e91-002,very_high,0.88,0.92,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.114637613296509,True,47.67,0.83,2025-10-22T09:13:09.576961,0.35,0.88,
Hybrid High - ECC+PQC,hybrid,hybrid-high-ecc-013,high,0.72,0.76,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1118004322052,True,28.28,0.66,2025-10-22T09:13:18.042575,0.55,0.7,
QKD Ultra Security - BB84,quantum,qkd-ultra-bb84-001,ultra,0.95,0.98,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.14966344833374,True,51.9,0.83,2025-10-22T09:13:28.037167,0.3,0.9,
Network - High Latency,network_conditions,network-highlatency-020,high,0.7,0.73,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.134940147399902,True,110.21,0.66,2025-10-22T09:13:36.493639,0.55,0.65,280.0
QKD Very High - E91,quantum,qkd-veryhigh-e91-002,very_high,0.88,0.92,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.1111695766448975,True,82.68,0.83,2025-10-22T09:13:44.954484,0.35,0.88,
Classical High - AES-256,classical,classical-high-aes256-016,high,0.65,0.7,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.129957675933838,True,40.01,0.67,2025-10-22T09:13:53.430343,0.6,0.6,
Hybrid High - Transition,hybrid,hybrid-high-trans-015,high,0.7,0.74,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.147589445114136,False,135.82,0.67,2025-10-22T09:14:01.932109,0.58,0.68,
QKD Very High - DECOY,quantum,qkd-veryhigh-decoy-005,very_high,0.86,0.9,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.122567415237427,True,67.89,0.84,2025-10-22T09:14:10.393726,0.38,0.85,
PQC Ultra - KYBER,post_quantum,pqc-ultra-kyber-006,ultra,0.92,0.95,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1137402057647705,True,33.63,0.65,2025-10-22T09:14:18.859595,0.5,0.75,
QKD High - MDI-QKD,quantum,qkd-high-mdi-004,high,0.8,0.85,True,"['HYBRID_ECC_PQC', 'PQC_KYBER', 'AES_256_GCM']",[],6.11280083656311,True,60.53,0.75,2025-10-22T09:14:27.291306,0.48,0.78,
PQC Very High - NTRU,post_quantum,pqc-veryhigh-ntru-008,very_high,0.83,0.86,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.110617637634277,True,54.47,0.66,2025-10-22T09:14:35.738910,0.52,0.72,
Classical High - ECC-521,classical,classical-high-ecc-018,high,0.68,0.72,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.11109471321106,True,45.66,0.67,2025-10-22T09:14:44.203553,0.62,0.58,
Classical Moderate - RSA-4096,classical,classical-mod-rsa-017,moderate,0.5,0.55,False,['AES_256_GCM'],[],6.107731103897095,True,33.83,0.48,2025-10-22T09:14:52.646126,0.65,0.55,
PQC High - SPHINCS,post_quantum,pqc-high-sphincs-011,high,0.76,0.8,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.078619718551636,False,99.04,0.67,2025-10-22T09:15:01.063885,0.6,0.65,
PQC Ultra - FALCON,post_quantum,pqc-ultra-falcon-010,ultra,0.94,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1285240650177,True,33.53,0.65,2025-10-22T09:15:09.545784,0.48,0.78,
Hybrid Very High - RSA+PQC,hybrid,hybrid-veryhigh-rsa-012,very_high,0.78,0.82,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.084462404251099,True,32.11,0.65,2025-10-22T09:15:17.966084,0.5,0.75,
QKD High - CV-QKD,quantum,qkd-high-cv-003,high,0.82,0.87,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.125010967254639,True,80.53,0.85,2025-10-22T09:15:26.425509,0.45,0.8,
Hybrid High - ECC+PQC,hybrid,hybrid-high-ecc-013,high,0.72,0.76,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.104811668395996,True,34.21,0.66,2025-10-22T09:15:34.860227,0.55,0.7,
Hybrid Very High - Mixed,hybrid,hybrid-veryhigh-mixed-014,very_high,0.81,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.13132905960083,True,33.47,0.65,2025-10-22T09:15:43.319043,0.48,0.76,
Stress - High Load + QKD,stress_test,stress-highload-019,high,0.88,0.85,True,"['AES_256_GCM', 'PQC_KYBER']",[],6.127367258071899,False,47.16,0.51,2025-10-22T09:15:51.769248,0.88,0.3,
PQC Very High - DILITHIUM,post_quantum,pqc-veryhigh-dilithium-007,very_high,0.85,0.88,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.104964971542358,True,29.16,0.66,2025-10-22T09:16:00.203957,0.55,0.7,
PQC High - SABER,post_quantum,pqc-high-saber-009,high,0.78,0.82,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.101652383804321,True,32.39,0.67,2025-10-22T09:16:08.643942,0.58,0.68,
Network - High Latency,network_conditions,network-highlatency-020,high,0.7,0.73,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.084350824356079,False,153.0,0.66,2025-10-22T09:16:18.576076,0.55,0.65,280.0
